wav_file,stim_number,word_end,non_word,phoneme_pair,morph_n,base,file_format,root,word_side,item_left,item_right,resampled,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_7.started,text_7.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_6.started,text_6.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,audio_word.started,audio_word.stopped,photodiode.started,photodiode.stopped,slider.response,slider.rt,slider.started,slider.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,Subject ID,TDT Block,block_type,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,29.470757969014812,None,space,33.75555628701113,29.470757969014812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EC250,B4,1,2021_Aug_26_1741,sequence,2020.2.9,60.000600007076315,
,,,,,,,,,,,,,,,,,,,,,,,63.273311180004384,None,4.42,19.417682652012445,63.273311180004384,None,82.68995713102049,None,space,3.9390632800059393,82.68995713102049,None,,,,,,,,,,,,,,,,,,EC250,B4,1,2021_Aug_26_1741,sequence,2020.2.9,60.000600007076315,
stimuli/11_necessary_dn_007.wav,11,necessary,decessary,dn,7,11_necessary_dn_007,wav,stimuli/,right,decessary,necessary,6,0,0,0,11,,,,,,,,,,,,,,,,,,,86.67259402541677,None,88.07343779600342,None,8.5125,4.076248216995737,88.07343779600342,None,"[-0.11888888888888889, -0.11888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0033333333333333335, -0.005555555555555556, -0.01, -0.011111111111111112, -0.013333333333333334, -0.013333333333333334, -0.013333333333333334, -0.013333333333333334, -0.013333333333333334, -0.013333333333333334, -0.013333333333333334, -0.013333333333333334, -0.013333333333333334, -0.0077777777777777776, 0.0, 0.0044444444444444444, 0.006666666666666667, 0.008888888888888889, 0.01, 0.014444444444444444, 0.01888888888888889, 0.027777777777777776, 0.03666666666666667, 0.043333333333333335, 0.057777777777777775, 0.08777777777777777, 0.11888888888888889, 0.16111111111111112, 0.1988888888888889, 0.23666666666666666, 0.2511111111111111, 0.26222222222222225, 0.27, 0.2777777777777778, 0.2833333333333333, 0.28444444444444444, 0.2866666666666667, 0.28888888888888886, 0.2966666666666667, 0.30777777777777776, 0.32, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.3277777777777778, 0.3244444444444444, 0.3188888888888889, 0.31555555555555553, 0.31222222222222223, 0.31, 0.3088888888888889, 0.30777777777777776, 0.30777777777777776, 0.30777777777777776, 0.30777777777777776, 0.31, 0.31222222222222223, 0.31666666666666665, 0.32666666666666666, 0.3411111111111111, 0.35777777777777775, 0.3711111111111111, 0.38, 0.3844444444444444, 0.38555555555555554, 0.38666666666666666, 0.38666666666666666, 0.38666666666666666, 0.38555555555555554, 0.3844444444444444, 0.3844444444444444, 0.3844444444444444, 0.3844444444444444, 0.3844444444444444, 0.3844444444444444, 0.3844444444444444, 0.38333333333333336, 0.38333333333333336, 0.38333333333333336, 0.38333333333333336, 0.38333333333333336, 0.38333333333333336, 0.38333333333333336, 0.38333333333333336, 0.38333333333333336, 0.38222222222222224, 0.3811111111111111, 0.3788888888888889, 0.37666666666666665, 0.37333333333333335, 0.3711111111111111, 0.36777777777777776, 0.3655555555555556, 0.36333333333333334, 0.35888888888888887, 0.3466666666666667, 0.33, 0.30777777777777776, 0.28444444444444444, 0.2633333333333333, 0.25, 0.24555555555555555, 0.24444444444444444, 0.24444444444444444, 0.24444444444444444, 0.24333333333333335, 0.24222222222222223, 0.24222222222222223, 0.24222222222222223, 0.24222222222222223, 0.24222222222222223, 0.24222222222222223, 0.24222222222222223, 0.24222222222222223, 0.24222222222222223, 0.24222222222222223, 0.24222222222222223, 0.24444444444444444, 0.24888888888888888, 0.25333333333333335, 0.2577777777777778, 0.26, 0.2611111111111111, 0.26222222222222225, 0.26222222222222225, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2633333333333333, 0.2644444444444444, 0.2644444444444444, 0.2644444444444444, 0.2644444444444444, 0.2644444444444444, 0.2644444444444444, 0.2644444444444444, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26555555555555554, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 0.2677777777777778, 0.2677777777777778, 0.2677777777777778, 0.2677777777777778]","[0.0033333333333333335, 0.0033333333333333335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011111111111111111, -0.0011111111111111111, -0.0022222222222222222, -0.0022222222222222222, -0.0033333333333333335, -0.0033333333333333335, -0.0044444444444444444, -0.005555555555555556, -0.005555555555555556, -0.005555555555555556, -0.006666666666666667, -0.0077777777777777776, -0.0077777777777777776, -0.01, -0.01, -0.011111111111111112, -0.011111111111111112, -0.011111111111111112, -0.011111111111111112, -0.011111111111111112, -0.011111111111111112, -0.011111111111111112, -0.011111111111111112, -0.011111111111111112, -0.014444444444444444, -0.016666666666666666, -0.017777777777777778, -0.017777777777777778, -0.017777777777777778, -0.017777777777777778, -0.017777777777777778, -0.017777777777777778, -0.017777777777777778, -0.017777777777777778, -0.017777777777777778, -0.017777777777777778, -0.03111111111111111, -0.044444444444444446, -0.06111111111111111, -0.07777777777777778, -0.09777777777777778, -0.10555555555555556, -0.10888888888888888, -0.11222222222222222, -0.11444444444444445, -0.11555555555555555, -0.11555555555555555, -0.11555555555555555, -0.11555555555555555, -0.11777777777777777, -0.11888888888888889, -0.11888888888888889, -0.12111111111111111, -0.12111111111111111, -0.12111111111111111, -0.12111111111111111, -0.12111111111111111, -0.12111111111111111, -0.12111111111111111, -0.12111111111111111, -0.12111111111111111, -0.12111111111111111, -0.12111111111111111, -0.12111111111111111, -0.12111111111111111, -0.11777777777777777, -0.11222222222222222, -0.10333333333333333, -0.09777777777777778, -0.09111111111111111, -0.08666666666666667, -0.08444444444444445, -0.08222222222222222, -0.07888888888888888, -0.07555555555555556, -0.06888888888888889, -0.06333333333333334, -0.05444444444444444, -0.04777777777777778, -0.04, -0.03222222222222222, -0.02666666666666667, -0.02, -0.016666666666666666, -0.014444444444444444, -0.013333333333333334, -0.012222222222222223, -0.011111111111111112, -0.011111111111111112, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.01, -0.008888888888888889, -0.008888888888888889, -0.008888888888888889, -0.008888888888888889, -0.008888888888888889, -0.008888888888888889, -0.008888888888888889, -0.008888888888888889, -0.008888888888888889, -0.0077777777777777776, -0.006666666666666667, -0.006666666666666667, -0.005555555555555556, -0.005555555555555556, -0.005555555555555556, -0.0044444444444444444, -0.0011111111111111111, 0.0022222222222222222, 0.0044444444444444444, 0.008888888888888889, 0.011111111111111112, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334, 0.011111111111111112, 0.008888888888888889, 0.006666666666666667, 0.005555555555555556, 0.005555555555555556, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222, 0.0022222222222222222]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0006441930017899722, 0.023004357994068414, 0.03888278399244882, 0.056488724978407845, 0.07218006497714669, 0.08846102000097744, 0.1062631779932417, 0.12201092898612842, 0.13904864797950722, 0.15609035899979062, 0.1716263779962901, 0.18889605297590606, 0.20565151399932802, 0.22235310598625802, 0.2392833349877037, 0.2550848480022978, 0.27247140198596753, 0.2893552529858425, 0.3059807079844177, 0.32202653799322434, 0.3382747119758278, 0.3558422529895324, 0.3717114769970067, 0.3897554579889402, 0.4059568819939159, 0.42191715497756377, 0.43873073798022233, 0.45520892197964713, 0.47208669397514313, 0.48924570399685763, 0.5051625459745992, 0.5228518699877895, 0.5390066839754581, 0.5554224739898928, 0.5731380919751246, 0.5895653299812693, 0.6055630189948715, 0.6224504399870057, 0.6396891139738727, 0.6558127619791776, 0.6720860039931722, 0.6888879499747418, 0.705971123999916, 0.7228056569874752, 0.7388359959877562, 0.755746544979047, 0.7725321719772182, 0.7884627390012611, 0.8055647499859333, 0.8219153159880079, 0.8385511520027649, 0.8549975309870206, 0.8719802519772202, 0.8893722139764577, 0.905799656000454, 0.9221730809949804, 0.9381260789814405, 0.9559048129885923, 0.9714656909927726, 0.9889281049836427, 1.0051794149912894, 1.0230475979915354, 1.0379880069813225, 1.055954910989385, 1.072391356981825, 1.0882364719873294, 1.1054641339869704, 1.121852461976232, 1.1389950099983253, 1.1561957629746757, 1.1722206069971435, 1.18949624398374, 1.2049428609898314, 1.2221318459778558, 1.2390992079745047, 1.2560395049804356, 1.2718812439998146, 1.2891644059855025, 1.3055167379789054, 1.322136815986596, 1.3392367989872582, 1.3563464779872447, 1.3716325059940573, 1.3893361339869443, 1.4049041669932194, 1.4222051379911136, 1.4388187929871492, 1.4552486179745756, 1.4721155789738987, 1.4886473119840957, 1.5058820349804591, 1.5214996959839482, 1.5383551039849408, 1.5557469310006127, 1.5721284989849664, 1.5881654209806584, 1.6053649619861972, 1.6216753459884785, 1.63956528599374, 1.6557757369882893, 1.6725800229760353, 1.6890818859974388, 1.7061575599946082, 1.722813813976245, 1.7388043489772826, 1.7552839729760308, 1.7717012999928556, 1.7890527499839664, 1.8057341459789313, 1.822400878998451, 1.8385665789828636, 1.8555040649953298, 1.8720657409867272, 1.888635962997796, 1.9055712889821734, 1.9218290529970545, 1.9382802349864505, 1.955390285991598, 1.9717078819812741, 1.989353298995411, 2.005799708975246, 2.021995529998094, 2.039567609986989, 2.0554795129864942, 2.0728782909864094, 2.088951563986484, 2.1055423879879527, 2.121537646977231, 2.138398707000306, 2.1559252819861285, 2.172446291981032, 2.1888085839746054, 2.2050462089828216, 2.222327190975193, 2.238925557001494, 2.255730340984883, 2.2725132999767084, 2.2884028929984197, 2.305332659976557, 2.322190117993159, 2.3383307259937283, 2.3554187279951293, 2.3729403159813955, 2.3887607009964995, 2.4058820529899094, 2.4233777499757707, 2.4387379409745336, 2.4559449439984746, 2.471819874976063, 2.4888045269763097, 2.505178071995033, 2.5221245829889085, 2.539514418982435, 2.556358110974543, 2.5718245979805943, 2.5889650439785328, 2.605152060976252, 2.622110187978251, 2.638791137986118, 2.6556918019778095, 2.6721779060026165, 2.688592291000532, 2.7051597620011307, 2.7215299849922303, 2.7394341839826666, 2.7550661819987, 2.77184944198234, 2.788915103999898, 2.8057816899963655, 2.8222170639783144, 2.839112486981321, 2.856098963995464, 2.872233703994425, 2.8890066699823365, 2.905628527980298, 2.9229241279826965, 2.9391455269942526, 2.95574286399642, 2.971398861001944, 2.9887934399885125, 3.004662538995035, 3.0221083689830266, 3.038852452998981, 3.055544477974763, 3.071690637996653, 3.0881848089920823, 3.10475485297502, 3.1219760429812595, 3.138903840997955, 3.1553423229779582, 3.1725982999778353, 3.188210767984856, 3.204995615989901, 3.2221169739787, 3.2384597699856386, 3.255049743980635, 3.2725669619976543, 3.288709287997335, 3.3060867409803905, 3.322591657983139, 3.3386486189847346, 3.3547845289867837, 3.3734281459765043, 3.3882161439978518, 3.405575320997741, 3.4220673679956235, 3.439051715977257, 3.4549188090022653, 3.4721023019810673, 3.4894912419840693, 3.505986721982481, 3.5221277509990614, 3.5388660589815117, 3.5550978669780307, 3.572134723974159, 3.5880382449831814, 3.605706806993112, 3.622020361974137, 3.6392586439906154, 3.655318178993184, 3.671761035977397, 3.6884290969755966, 3.704728951997822, 3.721596798975952, 3.7394584809953813, 3.7556781109888107, 3.771936581993941, 3.7883345399750397, 3.8050420859945007, 3.821904664975591, 3.8386336819967255, 3.855580472998554, 3.8722829099860974, 3.888837327976944, 3.9053004999877885, 3.9230651859834325, 3.9385815549758263, 3.955738702992676, 3.9724382929853164, 3.9883144889899995, 4.004513505991781, 4.02232052499312, 4.0392265190021135, 4.055543755996041, 4.072283297980903, 4.088669963995926]",[],0.005292462214129046,None,EC250,B4,1,2021_Aug_26_1741,sequence,2020.2.9,60.000600007076315,
